timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2022-04-01T00:00:00.000Z";"2022-04-01T23:59:59.999Z";"2022-04-01T15:23:00.000Z";"2022-04-01T02:58:00.000Z";"2781";45554.1638120546;46616.2437719152;44403.1410093413;46281.6439814509;38162644286.97;879359612625.13;"2022-04-01T23:59:59.999Z"
"2022-03-31T00:00:00.000Z";"2022-03-31T23:59:59.999Z";"2022-03-31T13:07:00.000Z";"2022-03-31T23:49:00.000Z";"2781";47062.146561831;47512.0283138768;45390.5371483103;45538.6769223388;33327427106.32;865202119215.74;"2022-03-31T23:59:59.999Z"
"2022-03-30T00:00:00.000Z";"2022-03-30T23:59:59.999Z";"2022-03-30T18:16:00.000Z";"2022-03-30T01:52:00.000Z";"2781";47456.897029717;47655.1494297468;46746.2113689801;47062.6641669272;29333883961.6;894116777851.54;"2022-03-30T23:59:59.999Z"
"2022-03-29T00:00:00.000Z";"2022-03-29T23:59:59.999Z";"2022-03-29T12:22:00.000Z";"2022-03-29T00:00:00.000Z";"2781";47100.4385980769;48022.2888818255;47100.4385980769;47465.7298877113;31397059068.97;901733146417.05;"2022-03-29T23:59:59.999Z"
"2022-03-28T00:00:00.000Z";"2022-03-28T23:59:59.999Z";"2022-03-28T19:36:00.000Z";"2022-03-28T00:18:00.000Z";"2781";46821.8502469343;48086.8367491568;46690.2041337559;47128.0051622503;36362175703.48;895273041065.34;"2022-03-28T23:59:59.999Z"
"2022-03-27T00:00:00.000Z";"2022-03-27T23:59:59.999Z";"2022-03-27T23:56:00.000Z";"2022-03-27T13:02:00.000Z";"2781";44505.3571023706;46827.5461945489;44437.2936474072;46820.4934636771;28160889721.88;889385706663.3;"2022-03-27T23:59:59.999Z"
"2022-03-26T00:00:00.000Z";"2022-03-26T23:59:59.999Z";"2022-03-26T20:39:00.000Z";"2022-03-26T01:02:00.000Z";"2781";44349.8584333427;44735.9955961396;44166.2751431536;44500.8284155129;16950455994.89;845283757076.22;"2022-03-26T23:59:59.999Z"
"2022-03-25T00:00:00.000Z";"2022-03-25T23:59:59.999Z";"2022-03-25T14:07:00.000Z";"2022-03-25T08:13:00.000Z";"2781";43964.5462246384;44999.4930588116;43706.2860318396;44348.7309048344;30574413034.44;842351457245.02;"2022-03-25T23:59:59.999Z"
"2022-03-24T00:00:00.000Z";"2022-03-24T23:59:59.999Z";"2022-03-24T17:20:00.000Z";"2022-03-24T02:17:00.000Z";"2781";42886.6542168214;44131.854552052;42726.1625314375;43960.933058954;31042992291.34;834943671214.36;"2022-03-24T23:59:59.999Z"
"2022-03-23T00:00:00.000Z";"2022-03-23T23:59:59.999Z";"2022-03-23T23:58:00.000Z";"2022-03-23T05:16:00.000Z";"2781";42364.3780528832;42893.5066795671;41877.5094001254;42892.9574822428;25242943069.35;814620088888.69;"2022-03-23T23:59:59.999Z"
"2022-03-22T00:00:00.000Z";"2022-03-22T23:59:59.999Z";"2022-03-22T04:38:00.000Z";"2022-03-22T00:34:00.000Z";"2781";41074.1045184977;43124.7080693268;40948.2807435836;42358.8084254084;32004652375.66;804437952235.7;"2022-03-22T23:59:59.999Z"
"2022-03-21T00:00:00.000Z";"2022-03-21T23:59:59.999Z";"2022-03-21T13:45:00.000Z";"2022-03-21T02:41:00.000Z";"2781";41246.1328484777;41454.4104322975;40668.0416965467;41077.9979918038;24615543270.67;780074755650.18;"2022-03-21T23:59:59.999Z"
"2022-03-20T00:00:00.000Z";"2022-03-20T23:59:59.999Z";"2022-03-20T00:16:00.000Z";"2022-03-20T17:56:00.000Z";"2781";42191.4053121278;42241.164783313;41004.7595624682;41247.8234468342;20127946682.25;783260570383.75;"2022-03-20T23:59:59.999Z"
"2022-03-19T00:00:00.000Z";"2022-03-19T23:59:59.999Z";"2022-03-19T21:41:00.000Z";"2022-03-19T03:49:00.000Z";"2781";41794.6478339065;42316.5544604012;41602.6683804537;42190.6534617069;19664853187.34;801124017583.09;"2022-03-19T23:59:59.999Z"
"2022-03-18T00:00:00.000Z";"2022-03-18T23:59:59.999Z";"2022-03-18T20:04:00.000Z";"2022-03-18T11:32:00.000Z";"2781";40944.8416795343;42195.7447600357;40302.3980488072;41801.1544960935;34421564941.56;793688176484.02;"2022-03-18T23:59:59.999Z"
"2022-03-17T00:00:00.000Z";"2022-03-17T23:59:59.999Z";"2022-03-17T05:02:00.000Z";"2022-03-17T07:47:00.000Z";"2781";41140.8448157717;41287.5352036456;40662.8706009486;40951.3798755055;22009601092.64;777515183730.32;"2022-03-17T23:59:59.999Z"
"2022-03-16T00:00:00.000Z";"2022-03-16T23:59:59.999Z";"2022-03-16T02:19:00.000Z";"2022-03-16T04:25:00.000Z";"2781";39335.569403716;41465.4517139286;39022.3470871459;41143.9280403474;39616916192.41;781131586213.32;"2022-03-16T23:59:59.999Z"
"2022-03-15T00:00:00.000Z";"2022-03-15T23:59:59.999Z";"2022-03-15T20:04:00.000Z";"2022-03-15T07:19:00.000Z";"2781";39664.2500260637;39794.6302635978;38310.2125797126;39338.7854920324;23934000867.75;746821744421.1;"2022-03-15T23:59:59.999Z"
"2022-03-14T00:00:00.000Z";"2022-03-14T23:59:59.999Z";"2022-03-14T22:52:00.000Z";"2022-03-14T00:16:00.000Z";"2781";37846.3164396237;39742.5007223381;37680.7344675775;39666.7558189777;24322159070.49;753013859089.57;"2022-03-14T23:59:59.999Z"
"2022-03-13T00:00:00.000Z";"2022-03-13T23:59:59.999Z";"2022-03-13T04:08:00.000Z";"2022-03-13T23:04:00.000Z";"2781";38884.7248489191;39209.3504270127;37728.1443563354;37849.6627995273;17300745309.73;718481905385.96;"2022-03-13T23:59:59.999Z"
"2022-03-12T00:00:00.000Z";"2022-03-12T23:59:59.999Z";"2022-03-12T17:08:00.000Z";"2022-03-12T00:02:00.000Z";"2781";38794.4631888984;39308.5990610398;38772.5358786197;38904.0133980303;14616450657.2;738459914963.88;"2022-03-12T23:59:59.999Z"
